X,Y,xG,lastAction,shotType,situation,result
0.8133,0.5259,0.188,Rebound,LeftFoot,DirectFreekick,SavedShot
0.2776,0.5456,0.09,Rebound,LeftFoot,SetPiece,SavedShot
0.0634,0.2897,0.147,Pass,LeftFoot,OpenPlay,Goal
0.1415,0.3097,0.128,Aerial,RightFoot,OpenPlay,SavedShot
0.1433,0.7708,0.073,Cross,Head,OpenPlay,ShotOnPost
0.8762,0.5215,0.311,HeadPass,Head,OpenPlay,BlockedShot
0.7284,0.05,0.013,Aerial,Head,SetPiece,SavedShot
0.9659,0.5309,0.588,HeadPass,RightFoot,DirectFreekick,SavedShot
0.711,0.4354,0.08,Standard,RightFoot,OpenPlay,SavedShot
0.0312,0.7825,0.088,TakeOn,LeftFoot,FromCorner,MissedShots
0.9323,0.1456,0.047,BallTouch,RightFoot,OpenPlay,MissedShots
0.9358,0.4362,0.412,Pass,LeftFoot,SetPiece,SavedShot
0.1248,0.3106,0.138,HeadPass,Head,OpenPlay,SavedShot
0.1066,0.5889,0.28,Rebound,Head,OpenPlay,MissedShots
0.2014,0.3844,0.133,Rebound,RightFoot,OpenPlay,Goal
0.7885,0.4285,0.142,BallTouch,RightFoot,OpenPlay,SavedShot
0.2073,0.72,0.076,Standard,RightFoot,OpenPlay,SavedShot
0.9678,0.434,0.472,TakeOn,RightFoot,FromCorner,MissedShots
0.9345,0.4102,0.349,TakeOn,RightFoot,FromCorner,MissedShots
0.8558,0.4716,0.262,HeadPass,LeftFoot,OpenPlay,BlockedShot
0.9853,0.7574,0.108,Cross,RightFoot,SetPiece,SavedShot
0.0248,0.2556,0.119,Standard,LeftFoot,OpenPlay,Goal
0.8955,0.6847,0.156,Rebound,RightFoot,OpenPlay,MissedShots
0.791,0.4075,0.137,Throughball,RightFoot,DirectFreekick,MissedShots
0.9148,0.4709,0.414,Cross,RightFoot,OpenPlay,SavedShot
0.9553,0.232,0.097,HeadPass,RightFoot,OpenPlay,MissedShots
0.8648,0.4399,0.26,BallTouch,RightFoot,FromCorner,SavedShot
0.7508,0.2902,0.063,Throughball,Head,OpenPlay,SavedShot
0.0475,0.3192,0.19,HeadPass,RightFoot,OpenPlay,Goal
0.0483,0.3266,0.201,Pass,RightFoot,SetPiece,BlockedShot
0.0592,0.5017,0.529,Standard,Head,OpenPlay,BlockedShot
0.1454,0.5921,0.214,Aerial,RightFoot,OpenPlay,MissedShots
0.8854,0.7787,0.076,Standard,RightFoot,OpenPlay,BlockedShot
0.0786,0.3934,0.295,HeadPass,LeftFoot,DirectFreekick,SavedShot
0.0566,0.5818,0.383,Pass,RightFoot,DirectFreekick,MissedShots
0.0292,0.3908,0.344,TakeOn,LeftFoot,SetPiece,SavedShot
0.1667,0.5443,0.214,Rebound,RightFoot,OpenPlay,SavedShot
0.9605,0.4602,0.543,Pass,LeftFoot,OpenPlay,MissedShots
0.1257,0.635,0.194,BallTouch,RightFoot,DirectFreekick,MissedShots
0.1472,0.4338,0.234,Rebound,RightFoot,FromCorner,Goal
0.1221,0.4903,0.319,Throughball,LeftFoot,SetPiece,MissedShots
0.2012,0.5537,0.161,Cross,RightFoot,FromCorner,MissedShots
0.8937,0.7023,0.137,Standard,RightFoot,SetPiece,MissedShots
0.749,0.5211,0.113,Aerial,LeftFoot,OpenPlay,BlockedShot
0.8816,0.6763,0.155,BallTouch,Head,SetPiece,SavedShot
0.1262,0.1608,0.047,Throughball,OtherBodyPart,DirectFreekick,SavedShot
0.9201,0.2538,0.107,Throughball,Head,OpenPlay,SavedShot
0.7763,0.3208,0.086,Standard,RightFoot,Penalty,ShotOnPost
0.3071,0.377,0.06,Rebound,RightFoot,OpenPlay,MissedShots
0.0416,0.5296,0.565,Aerial,LeftFoot,OpenPlay,MissedShots
0.7282,0.4267,0.089,Standard,RightFoot,DirectFreekick,BlockedShot
0.7636,0.5382,0.125,Pass,LeftFoot,SetPiece,MissedShots
0.1475,0.759,0.078,BallTouch,Head,OpenPlay,MissedShots
0.0769,0.7035,0.149,BallTouch,RightFoot,OpenPlay,SavedShot
0.7888,0.6162,0.124,Throughball,RightFoot,OpenPlay,Goal
0.9561,0.3523,0.248,Pass,LeftFoot,OpenPlay,SavedShot
0.8949,0.577,0.3,Aerial,RightFoot,OpenPlay,SavedShot
0.4389,0.6507,0.021,Aerial,LeftFoot,OpenPlay,SavedShot
0.8182,0.6267,0.144,Throughball,RightFoot,DirectFreekick,SavedShot
0.8804,0.5629,0.288,TakeOn,Head,SetPiece,Goal
0.8727,0.4774,0.302,Rebound,RightFoot,OpenPlay,ShotOnPost
0.0256,0.4988,0.693,TakeOn,LeftFoot,SetPiece,SavedShot
0.7667,0.4654,0.129,Pass,Head,FromCorner,BlockedShot
0.04,0.162,0.056,Aerial,RightFoot,SetPiece,MissedShots
0.9203,0.8087,0.066,Aerial,Head,OpenPlay,SavedShot
0.0815,0.4031,0.309,Throughball,Head,OpenPlay,SavedShot
0.7809,0.4582,0.143,Standard,RightFoot,FromCorner,SavedShot
0.0498,0.381,0.303,Pass,RightFoot,OpenPlay,MissedShots
0.795,0.4467,0.156,BallTouch,RightFoot,OpenPlay,SavedShot
0.0536,0.5316,0.517,HeadPass,Head,DirectFreekick,MissedShots
0.9347,0.6078,0.31,BallTouch,LeftFoot,SetPiece,SavedShot
0.1591,0.2972,0.108,Pass,RightFoot,SetPiece,SavedShot
0.9649,0.4231,0.432,Throughball,Head,DirectFreekick,MissedShots
0.8826,0.6783,0.154,TakeOn,RightFoot,OpenPlay,SavedShot
0.0684,0.3605,0.245,Cross,RightFoot,SetPiece,SavedShot
0.6763,0.419,0.059,Pass,LeftFoot,OpenPlay,BlockedShot
0.0687,0.4312,0.39,Standard,LeftFoot,DirectFreekick,SavedShot
0.089,0.3742,0.248,HeadPass,RightFoot,SetPiece,Goal
0.0616,0.5052,0.518,Pass,RightFoot,FromCorner,Goal
0.6609,0.3786,0.048,BallTouch,OtherBodyPart,OpenPlay,SavedShot
0.8534,0.8863,0.031,HeadPass,LeftFoot,OpenPlay,SavedShot
0.0421,0.6731,0.204,Standard,RightFoot,OpenPlay,SavedShot
0.9194,0.5784,0.346,Throughball,OtherBodyPart,OpenPlay,MissedShots
0.9167,0.2055,0.073,HeadPass,RightFoot,SetPiece,MissedShots
0.9572,0.2119,0.083,Cross,RightFoot,OpenPlay,MissedShots
0.3114,0.5429,0.069,Standard,RightFoot,SetPiece,Goal
0.995,0.3833,0.334,Pass,Head,OpenPlay,SavedShot
0.9524,0.1506,0.051,HeadPass,LeftFoot,FromCorner,SavedShot
0.2067,0.5883,0.141,TakeOn,RightFoot,SetPiece,SavedShot
0.0909,0.4087,0.303,Standard,LeftFoot,OpenPlay,SavedShot
0.0465,0.4285,0.43,Rebound,RightFoot,OpenPlay,MissedShots
0.0136,0.7593,0.106,TakeOn,RightFoot,OpenPlay,BlockedShot
0.1845,0.3651,0.137,Cross,RightFoot,OpenPlay,BlockedShot
0.1744,0.3554,0.139,Aerial,RightFoot,OpenPlay,MissedShots
0.9598,0.8513,0.05,Throughball,RightFoot,DirectFreekick,SavedShot
0.8497,0.3571,0.162,Pass,RightFoot,OpenPlay,MissedShots
0.104,0.8521,0.045,HeadPass,LeftFoot,FromCorner,SavedShot
0.202,0.5073,0.169,HeadPass,RightFoot,OpenPlay,SavedShot
0.95,0.2986,0.162,TakeOn,RightFoot,OpenPlay,MissedShots
0.9168,0.3345,0.193,Rebound,RightFoot,OpenPlay,SavedShot
0.1067,0.5259,0.353,Cross,LeftFoot,OpenPlay,MissedShots
0.9361,0.4339,0.407,BallTouch,LeftFoot,OpenPlay,SavedShot
0.8738,0.5074,0.309,Throughball,RightFoot,OpenPlay,SavedShot
0.6688,0.2357,0.029,Rebound,Head,OpenPlay,BlockedShot
0.2368,0.5095,0.128,HeadPass,RightFoot,SetPiece,MissedShots
0.766,0.764,0.051,Cross,LeftFoot,DirectFreekick,MissedShots
0.986,0.3891,0.347,Pass,LeftFoot,DirectFreekick,BlockedShot
0.966,0.2872,0.152,BallTouch,RightFoot,SetPiece,MissedShots
0.1472,0.3647,0.172,Rebound,RightFoot,FromCorner,BlockedShot
0.0101,0.5756,0.462,BallTouch,Head,SetPiece,BlockedShot
0.9001,0.4953,0.382,Aerial,RightFoot,OpenPlay,MissedShots
0.8505,0.7311,0.094,Cross,LeftFoot,SetPiece,ShotOnPost
0.0307,0.4682,0.597,Cross,RightFoot,OpenPlay,MissedShots
0.1822,0.6831,0.108,HeadPass,RightFoot,OpenPlay,MissedShots
0.9804,0.3732,0.304,Standard,RightFoot,SetPiece,MissedShots
0.1961,0.7043,0.088,Cross,Head,OpenPlay,SavedShot
0.2194,0.5354,0.144,Rebound,LeftFoot,SetPiece,SavedShot
0.0777,0.6067,0.296,Rebound,LeftFoot,OpenPlay,BlockedShot
0.9252,0.3743,0.264,Rebound,RightFoot,SetPiece,MissedShots
0.7504,0.0668,0.016,Aerial,RightFoot,DirectFreekick,MissedShots
0.8424,0.5651,0.217,BallTouch,LeftFoot,FromCorner,ShotOnPost
0.0444,0.299,0.164,Standard,RightFoot,OpenPlay,Goal
0.9247,0.3327,0.196,Throughball,RightFoot,FromCorner,MissedShots
0.0891,0.4788,0.409,Cross,RightFoot,OpenPlay,MissedShots
0.1745,0.3645,0.145,Rebound,RightFoot,FromCorner,MissedShots
0.2234,0.7534,0.057,Rebound,LeftFoot,OpenPlay,SavedShot
0.2153,0.324,0.092,HeadPass,RightFoot,OpenPlay,ShotOnPost
0.1713,0.5148,0.215,HeadPass,LeftFoot,SetPiece,SavedShot
0.0286,0.3745,0.304,Pass,LeftFoot,OpenPlay,SavedShot
0.8685,0.6748,0.148,Throughball,RightFoot,FromCorner,SavedShot
0.8473,0.2395,0.076,Cross,RightFoot,Penalty,BlockedShot
0.6571,0.5227,0.054,Aerial,RightFoot,OpenPlay,SavedShot
0.2868,0.5457,0.083,Rebound,RightFoot,SetPiece,Goal
0.1274,0.1665,0.049,Pass,RightFoot,OpenPlay,Goal
0.0918,0.4278,0.334,Throughball,RightFoot,DirectFreekick,MissedShots
0.1493,0.527,0.252,Cross,RightFoot,OpenPlay,SavedShot
0.1874,0.5509,0.18,BallTouch,RightFoot,OpenPlay,ShotOnPost
0.133,0.5301,0.286,BallTouch,RightFoot,OpenPlay,SavedShot
0.0707,0.5577,0.41,Pass,Head,FromCorner,Goal
0.1995,0.5391,0.167,Standard,RightFoot,OpenPlay,SavedShot
0.2388,0.2264,0.047,Standard,RightFoot,DirectFreekick,Goal
0.0317,0.2991,0.167,Aerial,RightFoot,SetPiece,SavedShot
0.2016,0.4905,0.169,Pass,RightFoot,SetPiece,SavedShot
0.077,0.7847,0.08,Rebound,RightFoot,DirectFreekick,Goal
0.031,0.5795,0.43,TakeOn,RightFoot,OpenPlay,SavedShot
0.0559,0.1232,0.04,HeadPass,RightFoot,OpenPlay,SavedShot
0.9685,0.537,0.576,Rebound,RightFoot,OpenPlay,MissedShots
0.6829,0.416,0.062,Aerial,RightFoot,Penalty,BlockedShot
0.9903,0.4292,0.48,Aerial,RightFoot,FromCorner,MissedShots
0.1138,0.2418,0.089,Cross,RightFoot,SetPiece,SavedShot
0.2598,0.7021,0.061,Cross,RightFoot,OpenPlay,MissedShots
0.2125,0.6291,0.116,TakeOn,LeftFoot,FromCorner,MissedShots
0.0237,0.3696,0.294,Aerial,LeftFoot,OpenPlay,Goal
0.8809,0.4375,0.29,Aerial,RightFoot,SetPiece,SavedShot
0.1378,0.4758,0.277,Aerial,RightFoot,SetPiece,BlockedShot
0.8724,0.4092,0.243,Throughball,Head,SetPiece,MissedShots
0.8094,0.4846,0.184,HeadPass,RightFoot,OpenPlay,SavedShot
0.1522,0.4312,0.223,Throughball,Head,FromCorner,Goal
0.8028,0.3007,0.09,Cross,RightFoot,OpenPlay,BlockedShot
0.8018,0.2684,0.074,HeadPass,RightFoot,FromCorner,MissedShots
0.803,0.3461,0.115,Pass,RightFoot,FromCorner,SavedShot
0.1668,0.6277,0.158,Rebound,RightFoot,DirectFreekick,SavedShot
0.9067,0.752,0.099,TakeOn,Head,SetPiece,SavedShot
0.9184,0.3252,0.182,HeadPass,Head,OpenPlay,SavedShot
0.7113,0.6195,0.07,Rebound,LeftFoot,FromCorner,MissedShots
0.8436,0.4608,0.234,Aerial,RightFoot,OpenPlay,Goal
0.1648,0.4193,0.196,Aerial,RightFoot,FromCorner,MissedShots
0.8919,0.439,0.315,BallTouch,RightFoot,SetPiece,BlockedShot
0.8894,0.4956,0.351,Throughball,RightFoot,OpenPlay,MissedShots
0.9119,0.447,0.374,BallTouch,RightFoot,SetPiece,MissedShots
0.0604,0.1193,0.039,BallTouch,RightFoot,OpenPlay,SavedShot
0.7769,0.5753,0.129,Throughball,RightFoot,OpenPlay,BlockedShot
0.903,0.5875,0.299,Pass,RightFoot,OpenPlay,SavedShot
0.8538,0.7158,0.106,Standard,RightFoot,OpenPlay,ShotOnPost
0.8818,0.3569,0.192,Throughball,LeftFoot,OpenPlay,Goal
0.8551,0.5708,0.234,BallTouch,LeftFoot,OpenPlay,ShotOnPost
0.0563,0.5809,0.386,Rebound,RightFoot,OpenPlay,BlockedShot
0.8662,0.4402,0.263,Standard,RightFoot,OpenPlay,MissedShots
0.6736,0.5805,0.058,Throughball,Head,OpenPlay,MissedShots
0.1945,0.6656,0.11,Rebound,Head,SetPiece,BlockedShot
0.9253,0.5182,0.46,Standard,RightFoot,SetPiece,SavedShot
0.1183,0.5154,0.327,Pass,RightFoot,SetPiece,BlockedShot
0.0182,0.5439,0.581,Aerial,LeftFoot,DirectFreekick,SavedShot
0.8808,0.6924,0.139,Throughball,LeftFoot,SetPiece,Goal
0.11,0.2524,0.097,HeadPass,RightFoot,DirectFreekick,MissedShots
0.7636,0.3078,0.074,TakeOn,RightFoot,OpenPlay,SavedShot
0.1714,0.5993,0.174,HeadPass,RightFoot,OpenPlay,SavedShot
0.9478,0.6894,0.177,HeadPass,Head,FromCorner,SavedShot
0.0302,0.4821,0.642,BallTouch,LeftFoot,OpenPlay,ShotOnPost
0.034,0.592,0.388,HeadPass,RightFoot,FromCorner,MissedShots
0.8574,0.4946,0.271,Throughball,RightFoot,Penalty,MissedShots
0.0639,0.7894,0.079,HeadPass,LeftFoot,FromCorner,ShotOnPost
0.9248,0.5547,0.404,Throughball,LeftFoot,FromCorner,MissedShots
0.0834,0.582,0.334,Pass,OtherBodyPart,OpenPlay,BlockedShot
0.1225,0.291,0.122,Throughball,LeftFoot,OpenPlay,MissedShots
0.1026,0.7086,0.132,Throughball,LeftFoot,SetPiece,MissedShots
0.1391,0.6712,0.146,TakeOn,LeftFoot,SetPiece,SavedShot
0.0442,0.4281,0.433,Cross,Head,SetPiece,Goal
0.7623,0.3848,0.103,BallTouch,LeftFoot,SetPiece,BlockedShot
0.9498,0.3565,0.252,HeadPass,RightFoot,OpenPlay,MissedShots
0.8093,0.4321,0.168,BallTouch,RightFoot,OpenPlay,MissedShots
0.1358,0.6351,0.184,Throughball,RightFoot,OpenPlay,SavedShot
0.1275,0.5915,0.242,Aerial,RightFoot,OpenPlay,SavedShot
0.8847,0.2353,0.084,HeadPass,RightFoot,FromCorner,MissedShots
0.7558,0.5013,0.12,Standard,Head,SetPiece,SavedShot
0.2238,0.6461,0.1,Aerial,RightFoot,OpenPlay,SavedShot
0.1442,0.7321,0.095,Standard,RightFoot,OpenPlay,SavedShot
0.7486,0.464,0.111,Cross,RightFoot,FromCorner,SavedShot
0.1883,0.5032,0.188,Rebound,RightFoot,SetPiece,MissedShots
0.0581,0.4958,0.533,Cross,LeftFoot,OpenPlay,SavedShot
0.9767,0.874,0.042,BallTouch,RightFoot,OpenPlay,MissedShots
0.9617,0.3663,0.279,Rebound,RightFoot,OpenPlay,MissedShots
0.6578,0.5213,0.055,Pass,LeftFoot,SetPiece,MissedShots
0.0616,0.7246,0.132,Aerial,Head,OpenPlay,SavedShot
0.9635,0.3436,0.235,Standard,RightFoot,FromCorner,BlockedShot
0.7924,0.853,0.032,HeadPass,RightFoot,FromCorner,SavedShot
0.7823,0.5763,0.134,Throughball,RightFoot,SetPiece,SavedShot
0.9754,0.2822,0.147,BallTouch,RightFoot,OpenPlay,SavedShot
0.0287,0.2676,0.131,Rebound,Head,SetPiece,MissedShots
0.9514,0.3663,0.272,Cross,RightFoot,OpenPlay,SavedShot
0.9747,0.4115,0.407,Aerial,Head,DirectFreekick,ShotOnPost
0.1773,0.4174,0.178,Rebound,Head,DirectFreekick,SavedShot
0.9553,0.4396,0.466,Standard,RightFoot,DirectFreekick,MissedShots
0.1672,0.483,0.222,Rebound,RightFoot,OpenPlay,ShotOnPost
0.1959,0.3846,0.138,Pass,RightFoot,OpenPlay,BlockedShot
0.8285,0.4968,0.215,TakeOn,Head,OpenPlay,MissedShots
0.881,0.5805,0.269,Throughball,RightFoot,OpenPlay,SavedShot
0.1681,0.5564,0.206,Rebound,RightFoot,OpenPlay,ShotOnPost
0.9429,0.5698,0.413,Standard,RightFoot,SetPiece,SavedShot
0.0611,0.6589,0.218,Pass,RightFoot,FromCorner,Goal
0.0128,0.2898,0.158,HeadPass,RightFoot,Penalty,SavedShot
0.8975,0.4273,0.311,Standard,LeftFoot,SetPiece,MissedShots
0.157,0.8339,0.044,Cross,RightFoot,OpenPlay,MissedShots
0.2151,0.8269,0.037,Cross,RightFoot,OpenPlay,MissedShots
0.7752,0.3966,0.117,Rebound,RightFoot,DirectFreekick,Goal
0.9629,0.3665,0.281,BallTouch,RightFoot,OpenPlay,BlockedShot
0.0889,0.6232,0.252,Standard,RightFoot,OpenPlay,SavedShot
0.9518,0.4191,0.4,BallTouch,RightFoot,OpenPlay,MissedShots
0.8099,0.5889,0.159,Cross,RightFoot,SetPiece,SavedShot
0.8244,0.244,0.071,HeadPass,RightFoot,OpenPlay,BlockedShot
0.7643,0.4557,0.125,BallTouch,RightFoot,OpenPlay,Goal
0.1448,0.5649,0.239,Throughball,RightFoot,OpenPlay,MissedShots
0.8357,0.3443,0.139,Standard,RightFoot,FromCorner,MissedShots
0.9506,0.4954,0.571,Cross,RightFoot,FromCorner,Goal
0.7848,0.255,0.063,HeadPass,RightFoot,FromCorner,BlockedShot
0.8415,0.5827,0.203,Pass,LeftFoot,OpenPlay,SavedShot
0.052,0.5507,0.475,Throughball,RightFoot,SetPiece,SavedShot
0.9261,0.4862,0.466,Pass,Head,OpenPlay,MissedShots
0.0965,0.3051,0.149,BallTouch,Head,OpenPlay,BlockedShot
0.7142,0.8588,0.022,Aerial,LeftFoot,FromCorner,MissedShots
0.9296,0.3455,0.219,Cross,RightFoot,FromCorner,BlockedShot
0.9439,0.3103,0.175,TakeOn,Head,OpenPlay,BlockedShot
0.7041,0.5371,0.078,TakeOn,LeftFoot,FromCorner,MissedShots
0.1303,0.5827,0.247,Cross,LeftFoot,SetPiece,BlockedShot
0.9319,0.5871,0.351,Pass,Head,FromCorner,SavedShot
0.2285,0.4093,0.119,Throughball,RightFoot,OpenPlay,SavedShot
0.217,0.6422,0.107,Cross,Head,FromCorner,MissedShots
0.0193,0.5825,0.432,Throughball,RightFoot,OpenPlay,BlockedShot
0.2676,0.6248,0.08,BallTouch,LeftFoot,OpenPlay,Goal
0.9588,0.5052,0.61,Rebound,LeftFoot,SetPiece,MissedShots
0.0198,0.3298,0.216,Throughball,LeftFoot,DirectFreekick,SavedShot
0.0915,0.6482,0.211,Rebound,RightFoot,OpenPlay,SavedShot
0.1642,0.5693,0.204,Throughball,Head,SetPiece,SavedShot
0.9289,0.7001,0.155,BallTouch,RightFoot,OpenPlay,SavedShot
0.7988,0.355,0.117,Standard,RightFoot,OpenPlay,MissedShots
0.969,0.4832,0.641,Throughball,RightFoot,OpenPlay,MissedShots
0.0129,0.5777,0.453,BallTouch,OtherBodyPart,FromCorner,SavedShot
0.0998,0.2774,0.121,TakeOn,OtherBodyPart,OpenPlay,BlockedShot
0.0647,0.5743,0.387,BallTouch,RightFoot,SetPiece,SavedShot
0.7646,0.6147,0.105,Cross,RightFoot,OpenPlay,BlockedShot
0.746,0.6509,0.08,BallTouch,Head,OpenPlay,MissedShots
0.849,0.05,0.019,Throughball,RightFoot,OpenPlay,SavedShot
0.6925,0.624,0.06,BallTouch,RightFoot,OpenPlay,SavedShot
0.7692,0.4318,0.124,Rebound,LeftFoot,FromCorner,SavedShot
0.975,0.6961,0.175,BallTouch,RightFoot,FromCorner,SavedShot
0.934,0.2599,0.116,HeadPass,LeftFoot,OpenPlay,MissedShots
0.2671,0.312,0.062,Throughball,RightFoot,OpenPlay,MissedShots
0.8809,0.4389,0.291,Throughball,RightFoot,OpenPlay,ShotOnPost
0.3926,0.2772,0.023,Pass,RightFoot,OpenPlay,SavedShot
0.8243,0.0811,0.022,Rebound,RightFoot,OpenPlay,BlockedShot
0.9049,0.5225,0.389,Rebound,RightFoot,FromCorner,SavedShot
0.0427,0.4756,0.573,TakeOn,RightFoot,OpenPlay,BlockedShot
0.0199,0.5784,0.445,Throughball,RightFoot,OpenPlay,SavedShot
0.0755,0.7272,0.125,Cross,RightFoot,OpenPlay,MissedShots
0.1703,0.5267,0.214,Rebound,RightFoot,OpenPlay,ShotOnPost
0.0933,0.5058,0.402,HeadPass,RightFoot,DirectFreekick,SavedShot
0.8797,0.499,0.325,Cross,RightFoot,OpenPlay,SavedShot
0.3276,0.62,0.052,Standard,Head,DirectFreekick,MissedShots
0.8676,0.1462,0.041,Pass,Head,OpenPlay,SavedShot
0.1544,0.8215,0.049,Throughball,RightFoot,SetPiece,BlockedShot
0.7767,0.6798,0.086,Rebound,Head,OpenPlay,BlockedShot
0.0298,0.3804,0.317,Standard,Head,OpenPlay,SavedShot
0.96,0.2436,0.107,Rebound,LeftFoot,OpenPlay,MissedShots
0.0244,0.189,0.07,Pass,OtherBodyPart,OpenPlay,MissedShots
0.9983,0.4546,0.591,Pass,Head,SetPiece,SavedShot
0.8349,0.5212,0.224,Standard,Head,OpenPlay,MissedShots
0.9669,0.1271,0.043,BallTouch,Head,Penalty,BlockedShot
0.0445,0.1755,0.062,TakeOn,Head,OpenPlay,SavedShot
0.9641,0.5411,0.55,Cross,LeftFoot,FromCorner,MissedShots
0.2844,0.6526,0.064,Cross,LeftFoot,FromCorner,Goal
0.7623,0.5325,0.125,Pass,RightFoot,OpenPlay,SavedShot
0.1035,0.3592,0.21,BallTouch,Head,OpenPlay,MissedShots
0.9888,0.361,0.279,Cross,RightFoot,OpenPlay,MissedShots
0.1628,0.251,0.079,Rebound,LeftFoot,OpenPlay,Goal
0.8304,0.5292,0.215,Throughball,LeftFoot,OpenPlay,SavedShot
0.8316,0.5264,0.217,Pass,RightFoot,OpenPlay,SavedShot
0.3011,0.8319,0.024,HeadPass,LeftFoot,OpenPlay,SavedShot
0.9553,0.5129,0.586,Pass,LeftFoot,OpenPlay,MissedShots
0.8056,0.4487,0.17,BallTouch,RightFoot,OpenPlay,SavedShot
0.1304,0.2368,0.081,Pass,RightFoot,OpenPlay,SavedShot
0.1473,0.3428,0.152,Cross,RightFoot,FromCorner,MissedShots
0.9226,0.3336,0.196,Rebound,Head,OpenPlay,ShotOnPost
0.8296,0.547,0.207,Aerial,Head,OpenPlay,MissedShots
0.041,0.6503,0.245,HeadPass,RightFoot,OpenPlay,Goal
0.966,0.653,0.243,Throughball,RightFoot,FromCorner,MissedShots
0.0698,0.3578,0.239,Pass,RightFoot,OpenPlay,BlockedShot
0.9526,0.5047,0.581,TakeOn,RightFoot,OpenPlay,Goal
0.1211,0.3375,0.168,BallTouch,RightFoot,OpenPlay,BlockedShot
0.8424,0.4875,0.24,Cross,RightFoot,OpenPlay,MissedShots
0.3424,0.6169,0.047,TakeOn,RightFoot,OpenPlay,MissedShots
0.9247,0.5287,0.446,Throughball,Head,SetPiece,Goal
0.6942,0.7615,0.034,Rebound,Head,Penalty,SavedShot
0.0879,0.5196,0.414,HeadPass,RightFoot,SetPiece,Goal
0.1288,0.5268,0.297,Rebound,RightFoot,OpenPlay,MissedShots
0.9404,0.4645,0.488,BallTouch,LeftFoot,SetPiece,MissedShots
0.7237,0.7529,0.042,BallTouch,OtherBodyPart,OpenPlay,SavedShot
0.7546,0.8656,0.025,Standard,RightFoot,DirectFreekick,SavedShot
0.0166,0.9188,0.03,Aerial,RightFoot,OpenPlay,MissedShots
0.869,0.6955,0.129,Rebound,OtherBodyPart,OpenPlay,SavedShot
0.9541,0.2422,0.105,Standard,LeftFoot,OpenPlay,MissedShots
0.8219,0.617,0.155,HeadPass,RightFoot,OpenPlay,MissedShots
0.0872,0.4639,0.4,Rebound,RightFoot,SetPiece,SavedShot
0.939,0.3531,0.238,Pass,RightFoot,OpenPlay,BlockedShot
0.8706,0.6556,0.168,Cross,OtherBodyPart,FromCorner,Goal
0.1517,0.3995,0.198,Pass,RightFoot,OpenPlay,Goal
0.7532,0.7064,0.065,HeadPass,RightFoot,OpenPlay,BlockedShot
0.0351,0.5944,0.38,Pass,LeftFoot,OpenPlay,SavedShot
0.819,0.355,0.133,Cross,RightFoot,SetPiece,SavedShot
0.1876,0.3359,0.116,Aerial,RightFoot,OpenPlay,Goal
0.0898,0.5985,0.293,Rebound,RightFoot,OpenPlay,MissedShots
0.7921,0.1755,0.039,BallTouch,RightFoot,OpenPlay,SavedShot
0.9179,0.4205,0.341,Pass,RightFoot,SetPiece,SavedShot
0.8101,0.3782,0.14,Standard,Head,OpenPlay,MissedShots
0.8323,0.2536,0.078,HeadPass,RightFoot,OpenPlay,Goal
0.9191,0.2192,0.082,Aerial,RightFoot,Penalty,MissedShots
0.0606,0.6622,0.213,Rebound,RightFoot,OpenPlay,MissedShots
0.0766,0.5641,0.382,BallTouch,LeftFoot,OpenPlay,SavedShot
0.0845,0.8793,0.038,Aerial,LeftFoot,Penalty,SavedShot
0.9547,0.6341,0.274,Pass,LeftFoot,DirectFreekick,SavedShot
0.0406,0.5606,0.474,HeadPass,RightFoot,OpenPlay,MissedShots
0.1463,0.7055,0.113,Aerial,RightFoot,DirectFreekick,MissedShots
0.1143,0.4042,0.258,HeadPass,RightFoot,DirectFreekick,SavedShot
0.2108,0.5426,0.152,Standard,RightFoot,SetPiece,SavedShot
0.9653,0.3976,0.358,Pass,Head,OpenPlay,MissedShots
0.8958,0.52,0.364,Cross,RightFoot,SetPiece,Goal
0.1577,0.4869,0.24,Throughball,LeftFoot,SetPiece,MissedShots
0.7817,0.8976,0.023,Rebound,RightFoot,SetPiece,MissedShots
0.2394,0.2527,0.054,Cross,RightFoot,OpenPlay,SavedShot
0.7249,0.1837,0.03,BallTouch,LeftFoot,OpenPlay,MissedShots
0.0241,0.4853,0.678,Standard,RightFoot,SetPiece,SavedShot
0.8495,0.6226,0.18,TakeOn,RightFoot,OpenPlay,SavedShot
0.8174,0.5247,0.195,Aerial,RightFoot,OpenPlay,BlockedShot
0.9575,0.5577,0.479,Cross,RightFoot,OpenPlay,SavedShot
0.7133,0.6413,0.066,Pass,RightFoot,DirectFreekick,MissedShots
0.1055,0.5085,0.364,TakeOn,RightFoot,SetPiece,BlockedShot
0.8714,0.6581,0.167,Cross,RightFoot,OpenPlay,BlockedShot
0.9666,0.5594,0.493,Standard,Head,FromCorner,MissedShots
0.0832,0.4007,0.302,TakeOn,RightFoot,Penalty,SavedShot
0.1969,0.5603,0.164,TakeOn,RightFoot,FromCorner,BlockedShot
0.9604,0.6357,0.274,Throughball,RightFoot,OpenPlay,MissedShots
0.0806,0.6708,0.188,HeadPass,Head,OpenPlay,MissedShots
0.137,0.9071,0.027,BallTouch,LeftFoot,OpenPlay,SavedShot
0.8384,0.5756,0.204,HeadPass,RightFoot,DirectFreekick,MissedShots
0.1885,0.4845,0.187,Throughball,Head,SetPiece,SavedShot
